firstname,lastname,gender,hobbies,street address,landmark,area,city,state,pincode,country
,,,,,,Dachan,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Daderhama,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Dadsar,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Daksum,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Dalseer,SHOPIAN,Jammu and Kashmir,192401,India
,,,,,,Damhal Hanji Pora,ANANTHNAG,Jammu and Kashmir,192233,India
,,,,,,Danipora,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Darwan Nawgam,BUDGAM,Jammu and Kashmir,191112,India
,,,,,,Demidulla,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Dethunagnarian,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Devbough,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Devpora Dardpora,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Devsar,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Dhaneugund,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Dhawtoo,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Dhobiwan,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Dialgam,ANANTHNAG,Jammu and Kashmir,192210,India
,,,,,,Digripora,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Dooru,ANANTHNAG,Jammu and Kashmir,192211,India
,,,,,,Drabgam,ANANTHNAG,Jammu and Kashmir,192306,India
,,,,,,Fateh Kadal,SRINAGAR,Jammu and Kashmir,190002,India
,,,,,,Fateh Pora,ANANTHNAG,Jammu and Kashmir,192210,India
,,,,,,Ferozpora,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Frisal,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Gadipora,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Gairoo,PULWAMA,Jammu and Kashmir,192122,India
,,,,,,Ganderbal,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Ganeshpora,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Gariend,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Gogjipathri,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Gopal Pora,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Gopalpora,KULGAM,Jammu and Kashmir,192233,India
,,,,,,Gosanigund,ANANTHNAG,Jammu and Kashmir,192210,India
,,,,,,Gouripora,PULWAMA,Jammu and Kashmir,192122,India
,,,,,,Guddar,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Gulab Bagh,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Gulmarg,BARAMULLA,Jammu and Kashmir,193403,India
,,,,,,Gund,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Gund Hassibhat,SRINAGAR,Jammu and Kashmir,190017,India
,,,,,,Gund Khaja Kasim,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,H Panzu,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Hajibal,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Hakura Badasgam,ANANTHNAG,Jammu and Kashmir,192210,India
,,,,,,Halsidar,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Hamhama,BUDGAM,Jammu and Kashmir,190021,India
,,,,,,Hanjura,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Hapatnar,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Haran,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Hardichhloo,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Hardobora,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Hardtour,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Hardudalwan,BUDGAM,Jammu and Kashmir,191112,India
,,,,,,Hardushora,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Hari Gaiwan,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Haripari,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Haripora,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Hariwatnoo,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Harwan,SRINAGAR,Jammu and Kashmir,191121,India
,,,,,,Hawl,ANANTHNAG,Jammu and Kashmir,192302,India
,,,,,,Hayatpora,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,HCGam,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Hef Shermal,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Herman,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Hiller Arahama,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Hiller Shahabad,ANANTHNAG,Jammu and Kashmir,192211,India
,,,,,,Hirapora,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Honipora,SRINAGAR,Jammu and Kashmir,192121,India
,,,,,,Hugam,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Hutmarah,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Hyderpora,SRINAGAR,Jammu and Kashmir,190014,India
,,,,,,Ichgam,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Inder,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Iskanderpora,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Jamia Masjid,SRINAGAR,Jammu and Kashmir,190002,India
,,,,,,Janglath Mandi,ANANTHNAG,Jammu and Kashmir,192101,India
,,,,,,Jawahar Nagar,SRINAGAR,Jammu and Kashmir,190008,India
,,,,,,Jawalapora,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Kachachakote,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Kachwari,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Kahleel,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Kakapora,PULWAMA,Jammu and Kashmir,192304,India
,,,,,,Kandoora,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Kangan,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Kanihama,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Kanilwan,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Kanipora,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Kanir,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Kapran,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Kaprin,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Karan Nagar Srinagar,SRINAGAR,Jammu and Kashmir,190010,India
,,,,,,Karhama,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Karimabad,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Kashmir University,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Kathsoo,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Katrasoo,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Kawarhama,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Kawoosa Khalisa,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Keller Mastpora,BUDGAM,Jammu and Kashmir,191112,India
,,,,,,Kenidajan,BUDGAM,Jammu and Kashmir,191112,India
,,,,,,Kenihama,SRINAGAR,Jammu and Kashmir,190015,India
,,,,,,Khag,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Khaipora,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Khan Shaib,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Khanabal,ANANTHNAG,Jammu and Kashmir,192101,India
,,,,,,Khanda,SRINAGAR,Jammu and Kashmir,192121,India
,,,,,,Khanmouh,SRINAGAR,Jammu and Kashmir,191101,India
,,,,,,Khanyar,SRINAGAR,Jammu and Kashmir,190003,India
,,,,,,Kharam,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Kharapora,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Kharawara,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Khayar,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Khigogipora,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Khrew,PULWAMA,Jammu and Kashmir,191103,India
,,,,,,Khull,KULGAM,Jammu and Kashmir,192233,India
,,,,,,Khuri Batpora B ,ANANTHNAG,Jammu and Kashmir,192233,India
,,,,,,Kilam Bazgam,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Klampora,ANANTHNAG,Jammu and Kashmir,192306,India
,,,,,,Koil,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Kokarnag,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Konibal,SRINAGAR,Jammu and Kashmir,192121,India
,,,,,,KPadshai Bagh,SRINAGAR,Jammu and Kashmir,190008,India
,,,,,,Kragsoo,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Kralpora,BUDGAM,Jammu and Kashmir,190019,India
,,,,,,Kralweth,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Krandigam,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Krim Shore,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Kriri Nowpora,ANANTHNAG,Jammu and Kashmir,192211,India
,,,,,,Kulan,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Kulgam,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Kullar,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Kund,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Kunzer,PULWAMA,Jammu and Kashmir,193404,India
,,,,,,Lajoora,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Lal Bazar,SRINAGAR,Jammu and Kashmir,190023,India
,,,,,,Lal Chowk,SRINAGAR,Jammu and Kashmir,190001,India
,,,,,,Lalgam,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Lalpora,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Laripora,ANANTHNAG,Jammu and Kashmir,192126,India
,,,,,,Larkipora,ANANTHNAG,Jammu and Kashmir,192210,India
,,,,,,Larnoo,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Lasjan,SRINAGAR,Jammu and Kashmir,191101,India
,,,,,,Later Chadoora,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Lathpora,PULWAMA,Jammu and Kashmir,192122,India
,,,,,,Levidoora,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Litter,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Logripora,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Lower Mundah,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Ludhoo,SRINAGAR,Jammu and Kashmir,191103,India
,,,,,,Lurgam,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Magam,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Malangpora,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Malbagh,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Malmoh,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Malwan,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Mamer,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Mandakpal,SRINAGAR,Jammu and Kashmir,191103,India
,,,,,,Mandhole,KULGAM,Jammu and Kashmir,192221,India
,,,,,,Mandoora,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Manigam,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Manjmoh,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Manzgam,ANANTHNAG,Jammu and Kashmir,192233,India
,,,,,,Marhama,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Martand,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Memendar,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Mgufan,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Midroo,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Mirhama,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Mitrigam,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Mohind,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Monghal,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Mulgam,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Murram,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Muti Handoo,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Nadigam,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Nagam,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Naina,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Nalasundhari,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Nambal,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Nandimarg,ANANTHNAG,Jammu and Kashmir,192233,India
,,,,,,Nandpora,SRINAGAR,Jammu and Kashmir,190003,India
,,,,,,Nanil,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Narapora,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Narapora,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Narbal,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Nasnoor,ANANTHNAG,Jammu and Kashmir,192233,India
,,,,,,Natipora,SRINAGAR,Jammu and Kashmir,190015,India
,,,,,,Nehama,SRINAGAR,Jammu and Kashmir,192121,India
,,,,,,Nehama,KULGAM,Jammu and Kashmir,192233,India
,,,,,,Nehru Park,SRINAGAR,Jammu and Kashmir,190001,India
,,,,,,Nellow,KULGAM,Jammu and Kashmir,192231,India
,,,,,,New Secretariat Srinagar,SRINAGAR,Jammu and Kashmir,190009,India
,,,,,,New Theed,SRINAGAR,Jammu and Kashmir,191121,India
,,,,,,Newa,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Nissu,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Noonmai,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Noushara,SRINAGAR,Jammu and Kashmir,190011,India
,,,,,,Nowbug,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Nowgam,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Nowgam,SRINAGAR,Jammu and Kashmir,190015,India
,,,,,,Nowpora,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Nuner,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Obindora,ANANTHNAG,Jammu and Kashmir,192211,India
,,,,,,Omanagri,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Ompora,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Opzen,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Otligam,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Pahaloo,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Pahroo,SRINAGAR,Jammu and Kashmir,192121,India
,,,,,,Paipora,SRINAGAR,Jammu and Kashmir,190017,India
,,,,,,Pakherpora,BUDGAM,Jammu and Kashmir,191112,India
,,,,,,Pampore,PULWAMA,Jammu and Kashmir,192121,India
,,,,,,Pandech,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Pandrathan,SRINAGAR,Jammu and Kashmir,191101,India
,,,,,,Pantha Chowk,SRINAGAR,Jammu and Kashmir,191101,India
,,,,,,Panzeth,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Panzgam,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Parigam Jagir,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Parimpora,SRINAGAR,Jammu and Kashmir,190017,India
,,,,,,Pariwan,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Pastana,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Peth Kanihama,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Peth Makhama,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Phalgam,ANANTHNAG,Jammu and Kashmir,192126,India
,,,,,,Pingliana,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Pinglish,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Pinjoora,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Poshkar,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Pulwama,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Pushkriri,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Qanmar,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Qasbalar,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Qasbiyar,PULWAMA,Jammu and Kashmir,192306,India
,,,,,,Qazigund,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Quimoh,ANANTHNAG,Jammu and Kashmir,192101,India
,,,,,,Qumroo,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,R N Hall,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Rainawari,SRINAGAR,Jammu and Kashmir,190003,India
,,,,,,Raithan,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Raiyar,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Rajbagh,SRINAGAR,Jammu and Kashmir,190008,India
,,,,,,Rajpora,ANANTHNAG,Jammu and Kashmir,193306,India
,,,,,,Rambagh Srinagar,SRINAGAR,Jammu and Kashmir,190009,India
,,,,,,Ramnagri,SRINAGAR,Jammu and Kashmir,192303,India
,,,,,,Ranbirpora,ANANTHNAG,Jammu and Kashmir,192125,India
,,,,,,Rangar,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Rangreth,SRINAGAR,Jammu and Kashmir,191132,India
,,,,,,Ratnipora,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Ratnipora,PULWAMA,Jammu and Kashmir,192304,India
,,,,,,Ratsun,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Reban Gund,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Romoh,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,S Bala,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,S K Gund,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,S K Pora,BUDGAM,Jammu and Kashmir,193401,India
,,,,,,Sadinare,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Safukadul,SRINAGAR,Jammu and Kashmir,190002,India
,,,,,,Sagam,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Saidpora,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Saidpora Hamchi,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Sail,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Saimoh,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Salia,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Sallar,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Saloora,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Sanat Nagar,SRINAGAR,Jammu and Kashmir,190005,India
,,,,,,Sarnal,ANANTHNAG,Jammu and Kashmir,192101,India
,,,,,,Sathu,SRINAGAR,Jammu and Kashmir,190001,India
,,,,,,Satura,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Sebdan,SRINAGAR,Jammu and Kashmir,190018,India
,,,,,,Sedow,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Sehpora,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Shale Tokna,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Shalgam,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Shallabugh,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Shamsipora,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Shangas,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Shogapora,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Sholipora,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Shonglipora,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Shopin,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Shuhama,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Shurat,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Siligam,ANANTHNAG,Jammu and Kashmir,192129,India
,,,,,,Sindhshirmal,PULWAMA,Jammu and Kashmir,192302,India
,,,,,,Sirhama,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Sk Airport,BUDGAM,Jammu and Kashmir,190007,India
,,,,,,SKSectrate,SRINAGAR,Jammu and Kashmir,190001,India
,,,,,,Skuast,SRINAGAR,Jammu and Kashmir,190025,India
,,,,,,Soaf Shali,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Soibugh,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Sopat Tengpora,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,SR Gunj,SRINAGAR,Jammu and Kashmir,190002,India
,,,,,,Srigufwaea,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Srinagar GPO,SRINAGAR,Jammu and Kashmir,190001,India
,,,,,,Sugan,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Sumboora,ANANTHNAG,Jammu and Kashmir,192304,India
,,,,,,Suraryan,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Tahaba Shadipora,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Tangmarg,BARAMULLA,Jammu and Kashmir,193402,India
,,,,,,Tankiya Sahib,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Tarahama,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Tarigam,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Telbal,SRINAGAR,Jammu and Kashmir,190006,India
,,,,,,Telwani,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Theru,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Tiken Batpora,PULWAMA,Jammu and Kashmir,192306,India
,,,,,,Tokna,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Tral,PULWAMA,Jammu and Kashmir,192123,India
,,,,,,Trenz,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Tulkhana,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Tulmulla,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Turigam Devgubh,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Turka Wangam,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Turkoo Babuar,PULWAMA,Jammu and Kashmir,192302,India
,,,,,,Urran Hall,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Utersoo,ANANTHNAG,Jammu and Kashmir,192201,India
,,,,,,Vaheel Chatarwatan,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Vailobrang,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Vandevalgam,ANANTHNAG,Jammu and Kashmir,192202,India
,,,,,,Veeri,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Verinaag,ANANTHNAG,Jammu and Kashmir,192212,India
,,,,,,Vesshu,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Vokey,KULGAM,Jammu and Kashmir,192231,India
,,,,,,Wachi,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Waghama,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Waibugh,PULWAMA,Jammu and Kashmir,192301,India
,,,,,,Wailoo Kralpora,BARAMULLA,Jammu and Kashmir,193404,India
,,,,,,Wakura,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Wallarhama,ANANTHNAG,Jammu and Kashmir,192401,India
,,,,,,Wangat,GANDERBAL,Jammu and Kashmir,191202,India
,,,,,,Wangund,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Wanpoh,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Wanpora,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Wasoora,PULWAMA,Jammu and Kashmir,192305,India
,,,,,,Watakala,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Wathura,BUDGAM,Jammu and Kashmir,191113,India
,,,,,,Watterhail,BUDGAM,Jammu and Kashmir,191111,India
,,,,,,Wayil,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Wussan,GANDERBAL,Jammu and Kashmir,191201,India
,,,,,,Wuyan,PULWAMA,Jammu and Kashmir,191102,India
,,,,,,Yangoora,GANDERBAL,Jammu and Kashmir,191131,India
,,,,,,Yaripora,KULGAM,Jammu and Kashmir,192232,India
,,,,,,Yarkhoshipora,ANANTHNAG,Jammu and Kashmir,192221,India
,,,,,,Zainakote,SRINAGAR,Jammu and Kashmir,190012,India
,,,,,,Zakoora,SRINAGAR,Jammu and Kashmir,190024,India
,,,,,,Zanipora,ANANTHNAG,Jammu and Kashmir,192124,India
,,,,,,Zantrag,PULWAMA,Jammu and Kashmir,191103,India
,,,,,,Zawan,SRINAGAR,Jammu and Kashmir,191101,India
,,,,,,Zoora,SHOPIAN,Jammu and Kashmir,192303,India
,,,,,,Zugu Khyran,BUDGAM,Jammu and Kashmir,193411,India
,,,,,,Adhkawari,REASI,Jammu and Kashmir,182301,India
,,,,,,Aftee,DODA,Jammu and Kashmir,182205,India
,,,,,,Aghar Baba Jitto,REASI,Jammu and Kashmir,182301,India
,,,,,,Alambas,RAMBAN,Jammu and Kashmir,182145,India
,,,,,,Allya,REASI,Jammu and Kashmir,185203,India
,,,,,,Amroh,UDHAMPUR,Jammu and Kashmir,182122,India
,,,,,,Angrala,REASI,Jammu and Kashmir,182315,India
,,,,,,Arnas,REASI,Jammu and Kashmir,182313,India
,,,,,,Assar,RAMBAN,Jammu and Kashmir,182143,India
,,,,,,Badhat,DODA,Jammu and Kashmir,182204,India
,,,,,,BADHOLE,UDHAMPUR,Jammu and Kashmir,182122,India
,,,,,,Bagdar SERI,REASI,Jammu and Kashmir,182311,India
,,,,,,Baggar,RAMBAN,Jammu and Kashmir,182143,India
,,,,,,Bain,UDHAMPUR,Jammu and Kashmir,182141,India
,,,,,,Bainsta,UDHAMPUR,Jammu and Kashmir,182126,India
,,,,,,Bajarni,DODA,Jammu and Kashmir,182202,India
,,,,,,Bakkal,REASI,Jammu and Kashmir,182311,India
,,,,,,Balamatkot,REASI,Jammu and Kashmir,182315,India
,,,,,,Bali,UDHAMPUR,Jammu and Kashmir,182101,India
,,,,,,BANDHOLE,UDHAMPUR,Jammu and Kashmir,182161,India
,,,,,,Banihal,RAMBAN,Jammu and Kashmir,182146,India
,,,,,,Banoon,DODA,Jammu and Kashmir,182203,India
,,,,,,Bapp,UDHAMPUR,Jammu and Kashmir,182161,India
,,,,,,Barerian,UDHAMPUR,Jammu and Kashmir,182126,India
,,,,,,Bari,UDHAMPUR,Jammu and Kashmir,182122,India
,,,,,,Barmeen,UDHAMPUR,Jammu and Kashmir,182124,India
,,,,,,Barola,UDHAMPUR,Jammu and Kashmir,182121,India
,,,,,,Basahat,UDHAMPUR,Jammu and Kashmir,182141,India
,,,,,,Basantgarh,UDHAMPUR,Jammu and Kashmir,182128,India
,,,,,,Bathoi,REASI,Jammu and Kashmir,182315,India
,,,,,,Batote,RAMBAN,Jammu and Kashmir,182143,India
,,,,,,Batroo,RAMBAN,Jammu and Kashmir,182145,India
,,,,,,Battal,UDHAMPUR,Jammu and Kashmir,182127,India
,,,,,,Beoli,DODA,Jammu and Kashmir,182202,India
,,,,,,Bhaderwah,DODA,Jammu and Kashmir,182222,India
,,,,,,Bhagga,REASI,Jammu and Kashmir,182311,India
,,,,,,Bhagwa,DODA,Jammu and Kashmir,182202,India
